ticker,date,earnings_factor_score,forward_5d_return
AAPL,2025-01-10,0.30471707975443135,-0.02356186601797694
MSFT,2025-01-10,0.7504511958064572,0.029517727476232006
NVDA,2025-01-10,-1.9510351886538364,-0.04816276918078865
META,2025-01-10,0.12784040316728537,-0.006883341583251272
JPM,2025-01-10,-0.016801157504288795,-0.021460507449373816
GS,2025-01-10,0.8793979748628286,0.026479982184626338
AAPL,2025-01-24,0.06603069756121605,0.028709275754690552
MSFT,2025-01-24,0.4675093422520456,-0.01774223683406459
NVDA,2025-01-24,0.36875078408249884,-0.021022058748064985
META,2025-01-24,0.8784503013072725,0.005779454635801858
JPM,2025-01-24,-0.18486236354526056,-0.018502137518460617
GS,2025-01-24,1.2225413386740303,0.0059170936576721875
AAPL,2025-02-07,-0.4283278221631072,-0.012229961339510598
MSFT,2025-02-07,0.5323091855533487,0.01339457509352875
NVDA,2025-02-07,0.4127326115959884,0.014072385967964975
META,2025-02-07,2.1416476008704612,0.006972805397348302
JPM,2025-02-07,-0.5122427290715373,-0.024442260038769245
GS,2025-02-07,0.6159794225754956,0.03315214269862626
AAPL,2025-02-21,-0.11394745765487507,-0.0219154915853022
MSFT,2025-02-21,-0.8244812156912396,0.009668969970087612
NVDA,2025-02-21,0.7432541712034423,0.019524890077257412
META,2025-02-21,-0.6655097072886943,0.00047995541835844056
JPM,2025-02-21,0.11668580914072822,0.006400701391351149
GS,2025-02-21,0.8714287779481898,0.012561318942952576
AAPL,2025-03-07,0.6789135630718949,0.007120785241797445
MSFT,2025-03-07,0.28911939868998415,0.018095160835483383
NVDA,2025-03-07,-1.4571558198556664,-0.019649026967777865
META,2025-03-07,-0.4703726542927955,-0.019734927440425914
JPM,2025-03-07,-0.27514225122668373,0.03517239477104643
GS,2025-03-07,-0.8658311156932432,0.017280309939241074
AAPL,2025-03-21,-1.6828697716158048,-0.02183508392257081
MSFT,2025-03-21,0.1627530651050056,0.015957582804822
NVDA,2025-03-21,0.711226579792855,0.025523493518340972
META,2025-03-21,-0.3487250722484376,-0.01434859539460168
JPM,2025-03-21,0.8579758812571538,0.002081198928016859
GS,2025-03-21,-1.2756863233379219,-0.03853767093679039
AAPL,2025-04-04,-0.9194522860016113,0.00507340031333121
MSFT,2025-04-04,0.14242573607056525,0.01840153974025873
NVDA,2025-04-04,-0.42725264633653426,0.0005454711062255818
META,2025-04-04,0.6255903939673367,-0.002728940341267267
JPM,2025-04-04,0.45677523755741145,-0.01289394662620699
GS,2025-04-04,-0.3630538465650718,-0.012447878122478802
AAPL,2025-04-18,-1.1958396455890397,0.0026075948549272292
MSFT,2025-04-18,-0.46940234020272387,-0.003442865753429605
NVDA,2025-04-18,0.48074665890590895,0.015009252671995875
META,2025-04-18,0.6653851089727862,0.0028609437590467
JPM,2025-04-18,-0.42329831204415375,-0.005379341769013207
GS,2025-04-18,-1.6873344339580298,-0.04967648728224142
AAPL,2025-05-02,-1.3226996123544024,-0.035512767588872264
MSFT,2025-05-02,0.3997742267234366,-0.019438782570214027
NVDA,2025-05-02,-0.3781625540393897,0.029455407012336524
META,2025-05-02,-0.35626397106142593,0.015587777443185756
JPM,2025-05-02,-0.933617680009877,-0.012604880386769768
GS,2025-05-02,-0.9500220549105812,-0.016076003336798712
AAPL,2025-05-16,0.8403081374573955,-0.036460545480149556
MSFT,2025-05-16,0.43442364354585733,0.009418779206673807
NVDA,2025-05-16,-0.5941499556967944,-0.040904646005285726
META,2025-05-16,0.07212950771386951,-0.012660281664884105
JPM,2025-05-16,0.23267621135470395,0.002407713328923704
GS,2025-05-16,1.6017788913209154,0.006830340443741716
AAPL,2025-05-30,-1.023497492621865,-0.0037060890670670152
MSFT,2025-05-30,0.21999668397176517,0.03573966285278504
NVDA,2025-05-30,0.8351112459145785,0.015602666446054363
META,2025-05-30,1.4633028912195618,-0.01801265322831478
JPM,2025-05-30,-0.6397515327497477,-0.028282410797136108
GS,2025-05-30,-0.38980980315576796,-0.037535632114153866
AAPL,2025-06-13,0.6351509468144043,-0.0004743598529541003
MSFT,2025-06-13,-1.4708062945026579,-0.037155927386209806
NVDA,2025-06-13,0.3135138474501953,0.02346127497696109
META,2025-06-13,1.9967308916917865,0.08882040878371754
JPM,2025-06-13,0.4144094332759964,-0.021423177534588635
GS,2025-06-13,-2.132046280731309,-0.010363583687254579
AAPL,2025-06-27,-0.812941095310326,-0.01688746026697474
MSFT,2025-06-27,-0.6120967990598081,-0.008416546552888097
NVDA,2025-06-27,1.0659802307876436,0.012454056032434765
META,2025-06-27,-0.1586348370386883,-0.0271604225169548
JPM,2025-06-27,-1.674682944704357,-0.02555516128446813
GS,2025-06-27,-0.05378255081832049,0.04376798743295052
AAPL,2025-07-11,0.13027452147288585,0.025610683947359526
MSFT,2025-07-11,-0.49929559853915206,-0.033617958948738834
NVDA,2025-07-11,-0.9651167622323719,-0.025851585711252803
META,2025-07-11,2.1284697324351645,-0.003506909121128339
JPM,2025-07-11,0.838489203736345,-0.0158652658222849
GS,2025-07-11,0.9315730128742441,0.017076358255640533
AAPL,2025-07-25,-0.1566378976580904,-0.0022721663346505737
MSFT,2025-07-25,-0.6547876954293904,0.005913503473616892
NVDA,2025-07-25,-0.45498348034078,-0.03428001193690745
META,2025-07-25,-1.2779375743196193,-0.0059088026515039666
JPM,2025-07-25,1.579091256410435,0.016632520390619437
GS,2025-07-25,-0.11863832610988256,0.0061965468811845115
AAPL,2025-08-08,1.3060017417068248,0.01593257646775101
MSFT,2025-08-08,-0.41092723083373717,0.024369799904827325
NVDA,2025-08-08,0.4287564384616135,0.041823951307592706
META,2025-08-08,0.18323443722190613,-0.02914585029523726
JPM,2025-08-08,-1.368159199245665,0.030327924711815925
GS,2025-08-08,1.723665720783297,0.009301345434201361
AAPL,2025-08-22,-0.38318732113598775,0.03347060873696715
MSFT,2025-08-22,-1.107045682043488,-0.031224540930243565
NVDA,2025-08-22,0.6433267946890444,-0.004718513713977385
META,2025-08-22,-0.005121866720071296,-0.004127047396873385
JPM,2025-08-22,0.33757454879893356,0.03788764292323439
GS,2025-08-22,0.09058490690174555,0.016823149087135413
AAPL,2025-09-05,-2.0501721010310225,-0.017619336856501126
MSFT,2025-09-05,-0.8432302702928711,-0.03721616867293367
NVDA,2025-09-05,-0.8781523669287508,-0.015378304952950308
META,2025-09-05,0.9159025423560131,-0.025832597604640996
JPM,2025-09-05,0.030631492594417446,-0.011859183892584124
GS,2025-09-05,-0.32767309436196085,0.022447560877719416
