date,asset_count,long_count,short_count,long_return,short_return,strategy_return,equity_curve
2025-01-10,6,1,1,0.011843038933035333,0.00015696106696466618,0.011686077866070668,1.0116860778660706
2025-01-24,6,1,1,0.01903658296698469,-0.0070365829669846915,0.026073165933969383,1.0380639368473594
2025-02-07,6,1,1,0.005609448886750896,0.006390551113249104,-0.0007811022264982083,1.0372531027950405
2025-02-21,6,1,1,0.0007365164949636729,0.011263483505036326,-0.010526967010072654,1.0263339736008217
2025-03-07,6,1,1,0.004985270648075505,0.0070147293519244956,-0.002029458703848991,1.0242510711850417
2025-03-21,6,1,1,0.009182471121440994,0.002817528878559006,0.006364942242881988,1.0307703700953446
2025-04-04,6,1,1,0.008589160226083399,0.003410839773916601,0.005178320452166798,1.0361080293842968
2025-04-18,6,1,1,-0.002759492650100297,0.014759492650100297,-0.017518985300200594,1.0179564680480935
2025-05-02,6,1,1,0.007814408034650867,0.004185591965349132,0.0036288160693017358,1.021650444837196
2025-05-16,6,1,1,0.009054054971250147,0.002945945028749854,0.006108109942500293,1.0278907980770657
2025-05-30,6,1,1,0.029657266337805285,-0.01765726633780528,0.04731453267561057,1.0765249708296425
2025-06-13,6,1,1,0.023891601501535034,-0.011891601501535032,0.035783203003070065,1.1150464823987136
2025-06-27,6,1,1,-0.0006791901550293796,0.01267919015502938,-0.01335838031005876,1.1001512674234384
2025-07-11,6,1,1,0.004413549746057416,0.007586450253942585,-0.003172900507885169,1.09666059690828
2025-07-25,6,1,1,-0.006170978016533027,0.01817097801653303,-0.024341956033066055,1.0699657328751426
2025-08-08,6,1,1,0.0016836368743286222,0.010316363125671378,-0.008632726251342756,1.0607290116049142
2025-08-22,6,1,1,0.009840445032313065,0.002159554967686936,0.007680890064626128,1.068876354531411
2025-09-05,6,1,1,0.0178526825879941,-0.005852682587994101,0.023705365175988202,1.0942144588435572
