ticker,date,insider_factor_score,forward_20d_return
AAPL,2025-01-10,-0.7290838377436085,-0.022186331703643782
MSFT,2025-01-10,-2.147289029738655,-0.02124496025153193
NVDA,2025-01-10,-1.062414411859563,-0.02173530097902835
META,2025-01-10,-0.8768607781675882,-0.009371450081654631
JPM,2025-01-10,-1.7577283913566313,-0.05073795826562782
GS,2025-01-10,2.129247112028298,-0.015151587635624394
AAPL,2025-01-24,-1.0967855784546396,0.03714855358039574
MSFT,2025-01-24,2.905067169240407,-0.006048628366710291
NVDA,2025-01-24,-0.36824895678803055,0.005592897119208495
META,2025-01-24,1.7286976444055924,-0.010841845805461199
JPM,2025-01-24,-0.24527784594210975,0.017471216634006723
GS,2025-01-24,0.43476607446661863,-0.005925773185019533
AAPL,2025-02-07,-0.13382296451604114,-0.03544297892537788
MSFT,2025-02-07,-0.23817374397466523,-0.0085650772020212
NVDA,2025-02-07,0.23216988962625595,-0.012025821353465353
META,2025-02-07,0.471538522545139,0.02909020362585683
JPM,2025-02-07,0.15542932766846604,0.010037344831327816
GS,2025-02-07,0.053155347577867364,0.0004273526079082934
AAPL,2025-02-21,-0.7215580335428474,0.0021398922734899217
MSFT,2025-02-21,-0.09728659841348947,0.05155091493595696
NVDA,2025-02-21,1.5733549024752425,0.02223300303371446
META,2025-02-21,-0.7630572096947675,-0.03391474447714359
JPM,2025-02-21,1.191142953088865,0.016097874253389384
GS,2025-02-21,0.4801434033916108,-0.039773502447221935
AAPL,2025-03-07,0.9274384815581808,0.01878001630782452
MSFT,2025-03-07,-1.110430684414478,-0.02067156566156455
NVDA,2025-03-07,0.2637172043565196,0.003421407593758247
META,2025-03-07,-0.292171185803555,-0.0049245761880774615
JPM,2025-03-07,-0.25197737820688537,0.0017982437769066316
GS,2025-03-07,1.471491972993157,-0.052394525239337186
AAPL,2025-03-21,-0.23685026450968424,0.0025180084182337
MSFT,2025-03-21,0.2959939896870995,-0.006929912615535451
NVDA,2025-03-21,-1.7567217824785826,-0.0058538871669759195
META,2025-03-21,1.727350214164185,-0.024527733409589966
JPM,2025-03-21,0.8638280136981883,-0.0013025064684868415
GS,2025-03-21,-0.0613243458288473,-0.026813057534229502
AAPL,2025-04-04,-0.33445617235587666,0.029825465488626954
MSFT,2025-04-04,0.582655241987707,0.04796903207115026
NVDA,2025-04-04,1.1774118889776937,0.020396462085060955
META,2025-04-04,1.743934526167792,0.024926305177799805
JPM,2025-04-04,0.8279881767970589,-0.0007903684239912376
GS,2025-04-04,0.06654581585920483,-0.016903229055633285
AAPL,2025-04-18,0.989583934594853,-0.021540919101112818
MSFT,2025-04-18,0.7823503424176613,0.0014925263017123037
NVDA,2025-04-18,1.1712470934673194,0.028141701466020054
META,2025-04-18,1.8206461576468016,0.03283453653964053
JPM,2025-04-18,-1.5720402556532407,-0.014250151367680947
GS,2025-04-18,-1.172007192594816,-0.022333053599915394
AAPL,2025-05-02,1.5112284332767216,0.028028172738656175
MSFT,2025-05-02,-0.6989304285787463,-0.030934377589639944
NVDA,2025-05-02,0.03278209287626079,-0.03015174699151811
META,2025-05-02,-0.6711402773965811,0.002431114569608448
JPM,2025-05-02,1.1553120361066962,0.024461533094464562
GS,2025-05-02,-2.2912895085981,-0.010721147843028304
AAPL,2025-05-16,0.07203357323257792,0.01092352572017795
MSFT,2025-05-16,1.6162096816512073,-0.03865127946690892
NVDA,2025-05-16,-0.5911034251911056,0.010043830668305023
META,2025-05-16,-1.5815943994539423,0.024245971005706184
JPM,2025-05-16,0.3683566127006584,0.024111452547690367
GS,2025-05-16,-0.5709436615217945,0.01577654295698091
AAPL,2025-05-30,1.0684715559890383,0.014369722951341516
MSFT,2025-05-30,0.23440089269869593,0.008633788123632715
NVDA,2025-05-30,-0.8633452647393817,-0.010594979123923877
META,2025-05-30,-0.1525225324523588,0.008364666349218506
JPM,2025-05-30,0.9998242469102946,-0.01846480807417788
GS,2025-05-30,-0.12500903031957764,0.036036316448917714
AAPL,2025-06-13,-0.7435882288125641,-0.026504956262758523
MSFT,2025-06-13,0.20230619183119358,0.02272807929678255
NVDA,2025-06-13,0.01142605556065933,0.033315423205410005
META,2025-06-13,0.8567939825665268,0.027899853532783764
JPM,2025-06-13,0.5541165013240933,0.06262425951924487
GS,2025-06-13,-0.2051616888660442,-0.0517293508125912
AAPL,2025-06-27,1.604254361517141,0.0013915491182164858
MSFT,2025-06-27,0.10788044434303304,0.03360181067625744
NVDA,2025-06-27,-1.6022595410589253,-0.044109256681124885
META,2025-06-27,-1.6012779371188537,-0.03266363074758643
JPM,2025-06-27,0.43963660601699356,0.016621788918455224
GS,2025-06-27,0.27627417932855375,-0.03310895366268073
AAPL,2025-07-11,-2.310103436632644,-0.017121987858301595
MSFT,2025-07-11,-0.47177603363833576,0.007710436023808609
NVDA,2025-07-11,0.7019536262212701,0.00907166481123721
META,2025-07-11,0.7601330853758538,0.011811349035883541
JPM,2025-07-11,0.5300647056014667,-0.013376313926935328
GS,2025-07-11,-0.17961141383145854,0.003482511105772263
AAPL,2025-07-25,0.8205284754174188,-0.0032793015022749526
MSFT,2025-07-25,0.5211672557321126,-0.002476631752027574
NVDA,2025-07-25,-0.11754216732813036,0.019797638711976782
META,2025-07-25,-1.993060371054156,-0.048356291170302275
JPM,2025-07-25,-1.4821853974428207,-0.0701978861757502
GS,2025-07-25,-0.6782644401551767,0.013309731971952097
AAPL,2025-08-08,-0.28488406638257474,0.0026656795174857056
MSFT,2025-08-08,1.0892174967107926,0.04190589328037864
NVDA,2025-08-08,-0.06913793472613955,0.03328654376142581
META,2025-08-08,0.09212665843410921,-0.02019794232821368
JPM,2025-08-08,-0.5944003521987352,-0.04176861563171529
GS,2025-08-08,-0.8881338537336524,-0.016055488031729948
AAPL,2025-08-22,0.8035850193786016,0.04944792593417841
MSFT,2025-08-22,-1.38218151537704,-0.0012367654165183466
NVDA,2025-08-22,-1.0405439391575344,0.003543075698319775
META,2025-08-22,-0.1310866506877266,-0.04682133885169008
JPM,2025-08-22,0.9282969915684843,-0.007698641887670402
GS,2025-08-22,-0.5339002383735546,-0.031015012189230688
AAPL,2025-09-05,-0.6542832766875555,0.0054629948038724865
MSFT,2025-09-05,-0.18924434093640552,0.0067025953295707826
NVDA,2025-09-05,0.3619218539288437,0.03591191621963492
META,2025-09-05,-0.3427861508643793,-0.039663734628058334
JPM,2025-09-05,1.067222416571983,0.0002505750301444974
GS,2025-09-05,1.114592444577377,0.018501167386180777
